id,pid_7,republican,democrat,LV_INDEX_DUMMY,black,hispanic,white,race_4,female,educ_1,educ_2,educ_3,USHHI2,EDUATT,income_quintile,vote_choice,direct_Y,Z,list_Y,WEIGHTS
ID_0001,1,0,1,1,1,0,0,Black,1,0,1,0,1,2,Below 20th Income Percentile,2,0,1,2,2.518055578
ID_0002,4,0,0,0,0,0,1,White,1,0,1,0,1,2,Below 20th Income Percentile,4,0,0,3,0.780353682
ID_0003,4,0,0,0,0,1,0,Hispanic,1,0,1,0,7,2,20th - 40th Income Percentile,4,0,0,3,1.070188855
ID_0004,4,0,0,0,0,0,0,Other Race,0,0,0,0,24,4,Above 80th Income Percentile,5,0,1,4,0.328847998
ID_0005,4,0,0,0,0,0,1,White,1,0,1,0,10,2,40th - 60th Income Percentile,4,0,1,2,0.376472226
ID_0006,6,1,0,1,0,0,1,White,1,0,1,0,19,2,Above 80th Income Percentile,1,1,0,2,0.619349659
ID_0007,6,1,0,0,0,0,1,White,1,0,1,0,4,2,Below 20th Income Percentile,3,0,0,1,1.037175142
ID_0008,4,0,0,1,0,1,0,Hispanic,1,0,0,1,19,3,Above 80th Income Percentile,2,0,1,2,0.740610795
ID_0009,3,0,1,1,0,0,1,White,1,0,0,0,14,4,40th - 60th Income Percentile,5,0,0,1,0.512406568
ID_0010,7,1,0,1,0,0,1,White,1,0,1,0,16,2,60th - 80th Income Percentile,1,1,1,2,0.726378072
ID_0011,4,0,0,0,0,0,1,White,0,0,0,1,7,3,20th - 40th Income Percentile,4,0,0,0,0.527641
ID_0012,7,1,0,1,0,0,1,White,1,0,0,0,16,4,60th - 80th Income Percentile,3,0,1,1,1.127251624
ID_0013,6,1,0,1,0,0,1,White,1,0,0,1,7,3,20th - 40th Income Percentile,1,1,1,3,0.254983765
ID_0014,4,0,0,0,0,0,1,White,1,0,0,1,5,3,20th - 40th Income Percentile,3,0,0,3,0.30581916
ID_0015,6,1,0,1,1,0,0,Black,1,0,1,0,7,2,20th - 40th Income Percentile,1,1,0,1,1.036766716
ID_0016,4,0,0,0,1,0,0,Black,1,1,0,0,1,1,Below 20th Income Percentile,2,0,0,2,1.305075172
ID_0017,2,0,1,1,0,0,1,White,1,0,1,0,6,2,20th - 40th Income Percentile,3,0,1,1,0.691389577
ID_0018,6,1,0,1,0,0,1,White,1,0,0,1,5,3,20th - 40th Income Percentile,5,0,0,1,0.279013233
ID_0019,7,1,0,1,0,0,1,White,1,0,1,0,17,2,60th - 80th Income Percentile,1,1,0,2,0.432251627
ID_0020,6,1,0,1,0,0,1,White,1,0,0,1,12,3,40th - 60th Income Percentile,1,1,1,2,0.448851234
ID_0021,6,1,0,0,1,0,0,Black,1,0,1,0,6,2,20th - 40th Income Percentile,1,1,1,2,1.484726679
ID_0022,5,1,0,1,0,0,1,White,1,0,1,0,14,2,40th - 60th Income Percentile,1,1,0,1,0.576461976
ID_0023,6,1,0,0,0,0,1,White,1,0,1,0,19,2,Above 80th Income Percentile,1,1,1,2,0.376472226
ID_0024,2,0,1,1,0,0,1,White,1,0,1,0,24,2,Above 80th Income Percentile,2,0,0,2,0.825536219
