city,precinct,zip,race,party,sex,age,turf,voted01,voted00,voted99,family,famsize,represen,reached,other,goaway,nothome,bad,cant,nothing,contact,treatmen,primary
Raleigh,13-Jan,27604,B,D,,47,6,0,0,0,9942,2,1,0,0,,,0,,,0,0,
Raleigh,28-Jan,27610,0,D,,18,7,0,0,0,25018,3,1,0,0,,,0,,,0,0,
Raleigh,1-Jul,27612,W,D,,21,15,0,1,0,53692,3,1,0,0,,,0,,,0,0,
Raleigh,4-Jul,27615,0,D,,49,20,0,0,0,55377,2,1,0,0,,,0,,,0,0,
Raleigh,7-Jul,27613,O,D,,20,21,0,0,0,60669,3,1,0,0,,,0,,,0,0,
Raleigh,12-Jan,27608,0,R,,27,5,0,1,0,9593,2,1,0,0,,,0,,,0,0,
Raleigh,1-Jul,27612,W,R,,49,14,0,0,0,53690,3,1,0,0,,,0,,,0,0,
Raleigh,12-Jan,27608,W,I,,21,5,0,0,0,9598,2,1,0,0,0,1,0,0,0,0,1,
Raleigh,13-Jan,27604,0,I,,39,6,0,0,0,9895,3,1,0,0,0,1,0,0,0,0,1,
Raleigh,28-Jan,27610,B,I,,24,8,0,1,0,24421,2,1,0,0,0,0,0,0,1,0,1,
Raleigh,7-Jul,27615,0,I,,46,21,0,1,0,61809,4,1,0,0,,,0,,,0,0,
Bridgeport,Beardsley School,6610,,D,F,52,1,0,1,,449,2,1,0,0,0,0,0,,,0,0,0
Bridgeport,Beardsley School,6610,,D,F,100,1,1,1,,453,1,1,0,0,0,1,0,,,0,1,0
Bridgeport,Beardsley School,6610,,D,F,63,1,1,1,,454,1,1,0,0,1,0,0,,,0,1,0
Bridgeport,Beardsley School,6610,,D,F,48,1,0,1,,457,2,1,0,0,1,0,0,,,0,1,0
Bridgeport,Beardsley School,6610,,D,F,39,1,0,1,,465,1,1,0,0,0,0,0,,,0,0,0
Bridgeport,Beardsley School,6610,,D,F,70,1,0,1,,479,1,1,0,0,0,1,0,,,0,1,0
Bridgeport,Beardsley School,6610,,D,F,82,1,0,1,,480,1,1,0,0,0,0,0,,,0,0,0
Bridgeport,Beardsley School,6610,,D,F,41,1,0,0,,481,1,1,0,0,0,1,0,,,0,1,0
Bridgeport,Harbor View Towers,6608,,D,F,32,2,0,0,,3425,1,1,0,0,0,0,1,,,0,1,0
Bridgeport,Harbor View Towers,6608,,D,F,20,2,0,0,,3429,1,1,0,0,0,1,0,,,0,1,0
Bridgeport,Luis Munoz Marin S,6608,,D,F,41,2,1,1,,3437,1,1,0,0,0,0,0,,,0,0,0
Bridgeport,Luis Munoz Marin S,6608,,D,F,57,2,0,1,,3445,2,1,0,0,0,0,0,,,0,0,0
Bridgeport,Luis Munoz Marin S,6608,,D,F,45,2,0,0,,3454,2,1,0,0,0,0,0,,,0,0,0
Bridgeport,Luis Munoz Marin S,6608,,D,F,63,2,1,1,,3457,4,1,0,0,0,0,0,,,0,0,0
