"video","q1","q2","q5","q6","q7","q8","q11","q12","q13","q14","ppgender","ppage","ppeth","ppeducat"
4,1,-2,3,3,3,2,3,4,3,2,1,31,1,4
4,2,-2,7,1,4,1,1,1,2,3,1,44,1,3
2,2,-2,7,2,2,1,2,2,2,3,1,74,1,1
2,1,-2,4,3,4,6,2,2,2,1,2,37,1,4
1,4,1,1,4,2,5,3,5,1,4,2,32,1,2
4,2,-2,6,1,4,2,1,1,2,3,1,45,1,2
1,5,3,8,3,2,3,3,3,3,2,1,31,1,4
3,3,3,5,4,3,2,2,2,3,3,2,43,1,4
2,2,-2,6,5,4,2,2,1,3,3,1,40,1,2
1,1,-2,4,5,5,6,3,3,3,4,1,49,1,2
1,1,-2,4,2,1,1,3,3,1,3,2,76,1,4
1,2,-2,4,2,5,1,2,2,3,4,1,62,1,2
2,3,3,5,2,2,1,2,1,2,2,2,49,1,4
1,3,1,3,3,4,3,2,3,2,3,1,58,1,4
2,5,3,8,5,5,6,4,6,3,4,1,56,1,4
4,2,-2,5,3,4,2,1,2,2,2,2,73,1,3
3,1,-2,2,1,4,6,2,6,2,2,1,28,1,3
4,3,3,4,4,4,3,3,2,2,2,1,28,1,3
2,1,-2,8,2,2,1,2,1,2,3,2,49,1,2
1,2,-2,6,2,3,3,1,1,3,3,2,38,1,4
3,2,-2,4,1,3,1,4,2,2,3,1,77,1,1
3,3,2,5,3,2,2,1,2,2,2,1,49,1,4
3,2,-2,5,3,2,3,3,3,1,3,1,68,1,1
2,5,3,4,3,2,3,4,2,3,2,2,73,1,2
3,1,-2,7,3,2,1,1,1,3,3,2,56,1,4
1,3,1,3,4,2,1,3,2,1,2,2,55,1,4
1,4,1,2,4,1,3,3,5,1,2,2,68,1,4
1,1,-2,4,4,4,1,4,3,2,3,1,28,1,2
4,2,-2,4,3,2,2,2,2,1,2,1,50,1,4
4,2,-2,6,4,4,5,2,5,1,1,1,37,1,2
2,2,-2,5,4,3,4,4,3,2,3,1,57,1,2
1,5,1,8,3,5,3,4,1,2,3,1,41,1,2
