"weight1","xq2","q1_insert","q1","q1a","q1b","q2","q2a","q2b","q35","q36","ind2","ppgender","ppage","ppeducat","pprent","ppstaten"
0.850000023841858,,3,2,,2,,,,,7,333000,1,37,4,1,57
4.38000011444092,,1,2,,1,,,,,4,541300,1,24,4,2,21
2.44000005722046,,3,2,,2,,,,,3,541300,2,43,4,1,31
2.70000004768372,,1,2,,2,,,,,3,813100,1,55,4,1,52
0.409999996423721,,2,1,2,,,,,,3,611000,1,47,4,1,32
0.829999983310699,,2,2,,2,,,,,3,611000,1,41,4,1,21
2.75999999046326,,2,2,,1,,,,1,,711000,2,42,4,1,59
0.419999986886978,,2,2,,1,,,,,,,1,77,2,1,21
0.910000026226044,,2,1,2,,,,,9,,,1,76,2,1,59
0.910000026226044,,2,2,,1,,,,8,,,2,34,3,1,21
1.64999997615814,,2,2,,1,,,,8,,311000,2,57,2,1,23
1.1599999666214,,1,2,,2,,,,8,,,2,68,3,1,73
1.0900000333786,,3,,,,,,,5,,722000,1,49,4,2,21
3.22000002861023,,2,1,2,,,,,1,,,1,33,4,2,33
3.54999995231628,,3,2,,1,,,,,7,541400,1,59,4,2,93
0.319999992847443,,1,1,2,,,,,3,,,2,75,2,2,34
0.389999985694885,,3,1,2,,,,,2,,813100,1,18,3,1,59
2.04999995231628,,1,2,,2,,,,,4,541500,1,47,4,1,43
0.509999990463257,,2,2,,2,,,,,3,491000,1,36,3,1,74
0.620000004768372,,2,2,,1,,,,,5,221000,2,45,3,1,59
1.16999995708466,,3,2,,1,,,,,1,541900,2,30,4,1,46
0.239999994635582,,3,1,2,,,,,,7,541300,1,62,3,1,74
0.540000021457672,,2,2,,1,,,,,3,,2,53,3,1,91
0.699999988079071,,1,1,2,,,,,,,541100,1,65,4,1,93
1.12999999523163,,2,2,,1,,,,2,,,1,22,2,1,58
0.990000009536743,,1,1,2,,,,,,2,813100,2,44,3,1,74
1.3400000333786,,3,2,,1,,,,7,,423000,1,38,1,2,33
0.569999992847443,,1,2,,2,,,,,2,622000,2,60,2,2,15
0.509999990463257,,1,2,,1,,,,,3,611000,1,61,4,1,14
1.29999995231628,,1,,,,,,,5,,813900,1,22,3,1,46
0.839999973773956,,1,1,1,,,,,7,,,2,39,1,2,72
